name	datetime	Electricity(kWh)	Gas(kWh)	tempmax	tempmin	temp	feelslikemax	feelslikemin	feelslike	dew	humidity	precip	precipprob	precipcover	preciptype	snow	snowdepth	windgust	windspeed	winddir	sealevelpressure	cloudcover	visibility	solarradiation	solarenergy	uvindex	severerisk	sunrise	sunset	moonphase	conditions	description	icon
"Birmingham,United Kingdom"	01/11/2023	3.96	26.41	13.1	6.2	10.7	13.1	3.9	10	8.3	85.9	4.039	100	62.5	rain	0	0	52.9	25.1	174.6	987.6	67.5	15.9	47.3	4	3		2023-11-01T07:03:11	2023-11-01T16:38:29	0.62	"Rain, Partially cloudy"	Partly cloudy throughout the day with a chance of rain throughout the day.	rain
"Birmingham,United Kingdom"	02/11/2023	2.94	20.26	10	7.8	9	8.2	4.8	6.3	7.3	89.6	6.418	100	87.5	rain	0	0	56	33.1	302.5	966.6	80.5	17.6	12.8	1	1		2023-11-02T07:05:01	2023-11-02T16:36:37	0.65	"Rain, Partially cloudy"	Partly cloudy throughout the day with a chance of rain throughout the day.	rain
"Birmingham,United Kingdom"	03/11/2023	4.48	31.72	12.9	7.8	9.3	12.9	5.6	8	6.4	82.3	0.044	100	8.33	rain	0	0	30.8	18.1	241.4	979.8	54	20.9	63.3	5.4	5		2023-11-03T07:06:52	2023-11-03T16:34:46	0.68	"Rain, Partially cloudy"	Partly cloudy throughout the day with early morning rain.	rain
"Birmingham,United Kingdom"	04/11/2023	2.69	23.47	9	3.6	7	8.6	1	5.3	6.4	95.7	9.681	100	50	rain	0	0	34.8	20.1	105.1	968.8	73.4	9.7	12.2	1.1	1		2023-11-04T07:08:42	2023-11-04T16:32:57	0.71	"Rain, Partially cloudy"	Partly cloudy throughout the day with rain.	rain
"Birmingham,United Kingdom"	05/11/2023	5.36	43.92	12.7	7.1	9	12.7	4.5	7.3	6.6	85.5	0.536	100	16.67	rain	0	0	31.2	22.1	276.1	979.7	55	16.2	29.2	2.6	2		2023-11-05T07:10:32	2023-11-05T16:31:10	0.75	"Rain, Partially cloudy"	Partly cloudy throughout the day with a chance of rain throughout the day.	rain
"Birmingham,United Kingdom"	06/11/2023	3.79	21.49	12	6.1	8.7	12	3.8	7.2	5.8	82.2	0.026	100	4.17	rain	0	0	36.2	19.6	228.1	996.1	23.6	15.5	50.8	4.4	3		2023-11-06T07:12:23	2023-11-06T16:29:24	0.78	"Rain, Partially cloudy"	Partly cloudy throughout the day with late afternoon rain.	rain
"Birmingham,United Kingdom"	07/11/2023	5.82	26.79	12.1	5.8	8.3	12.1	3.2	6.8	5.5	83.1	0.024	100	4.17	rain	0	0	31.7	18.6	236.7	1006.3	22.2	18.8	54.7	4.7	3		2023-11-07T07:14:13	2023-11-07T16:27:40	0.81	"Rain, Partially cloudy"	Partly cloudy throughout the day with afternoon rain.	rain
"Birmingham,United Kingdom"	08/11/2023	2.95	21.24	12	6.1	8.4	12	4.4	6.9	6.1	86.1	2.54	100	29.17	rain	0	0	34.5	21.7	198.2	1002.1	55.1	14.9	27.3	2.2	1		2023-11-08T07:16:03	2023-11-08T16:25:58	0.84	"Rain, Partially cloudy"	Partly cloudy throughout the day with a chance of rain throughout the day.	rain
"Birmingham,United Kingdom"	09/11/2023	3.90	21.21	9	5.8	7.2	6.6	3.2	4.7	5	86.2	1.031	100	50	rain	0	0	35	19.1	197.6	994	51.6	19.1	45.3	3.9	3		2023-11-09T07:17:53	2023-11-09T16:24:18	0.87	"Rain, Partially cloudy"	Partly cloudy throughout the day with a chance of rain throughout the day.	rain
"Birmingham,United Kingdom"	10/11/2023	3.05	35.48	8.9	4	6.3	5.4	1.9	4	4	85.6	0.208	100	20.83	rain	0	0	32.5	26.8	280.1	996	44.8	14.8	54.2	4.7	4		2023-11-10T07:19:42	2023-11-10T16:22:40	0.91	"Rain, Partially cloudy"	Partly cloudy throughout the day with rain clearing later.	rain
"Birmingham,United Kingdom"	11/11/2023	3.11	14.37	10.6	1.2	5.8	10.6	-0.3	4.3	3.4	84.8	0.086	100	4.17	rain	0	0	19.8	13.7	275.5	1006.1	22.7	18.2	58.2	5.2	3		2023-11-11T07:21:31	2023-11-11T16:21:04	0.94	"Rain, Partially cloudy"	Partly cloudy throughout the day with morning rain.	rain
"Birmingham,United Kingdom"	12/11/2023	4.70	39.35	8.9	0.7	5.5	7.8	-1.6	3.3	4.9	96.3	4.269	100	50	"rain,snow"	0	0	25.1	18.3	137.8	1002.5	71.6	7.9	18.1	1.5	1		2023-11-12T07:23:20	2023-11-12T16:19:30	0.97	"Snow, Rain, Partially cloudy"	Partly cloudy throughout the day with a chance of rain or snow throughout the day.	rain
"Birmingham,United Kingdom"	13/11/2023	3.56	23.61	13	9	11.2	13	5.9	10.6	8.3	83.6	9.322	100	54.17	rain	0	0	52.8	26.4	220.1	995	66.5	11	33	3	3		2023-11-13T07:25:09	2023-11-13T16:17:59	0	"Rain, Partially cloudy"	Partly cloudy throughout the day with a chance of rain throughout the day.	rain
"Birmingham,United Kingdom"	14/11/2023	4.94	21.43	12.1	8.9	10.4	12.1	7.2	9.7	7.9	85.1	1.077	100	25	rain	0	0	30.4	17.4	234.6	1002.4	32.2	14.2	30.5	2.7	2		2023-11-14T07:26:57	2023-11-14T16:16:29	0.04	"Rain, Partially cloudy"	Partly cloudy throughout the day with a chance of rain throughout the day.	rain
"Birmingham,United Kingdom"	15/11/2023	4.36	15.42	10.8	4.9	8.4	10.8	3.1	6.9	4.8	78.8	0.017	100	4.17	rain	0	0	38.9	20	251.8	1014.5	35	18.9	38.2	3.4	3		2023-11-15T07:28:44	2023-11-15T16:15:02	0.08	"Rain, Partially cloudy"	Partly cloudy throughout the day with early morning rain.	rain
"Birmingham,United Kingdom"	16/11/2023	3.00	26.09	7.8	2.2	5	6.6	2.2	4.1	4	93.3	0.314	100	8.33	rain	0	0	14.1	10.4	280.8	1014	68.2	9.8	16.4	1.4	1		2023-11-16T07:30:31	2023-11-16T16:13:37	0.11	"Rain, Partially cloudy"	Partly cloudy throughout the day with late afternoon rain.	rain
